Sample	EMT_KS_Score
TCGA.A2.A0YH.01A.11R.A109.07	-0.100420168067227
TCGA.A2.A0YI.01A.31R.A10J.07	-0.167647058823529
TCGA.A2.A0YJ.01A.11R.A109.07	-0.301260504201681
TCGA.A2.A0YK.01A.22R.A109.07	0.171848739495798
TCGA.A2.A0YL.01A.21R.A109.07	-0.0953781512605042
TCGA.A2.A0YM.01A.11R.A109.07	-0.166806722689076
TCGA.A2.A0YT.01A.11R.A109.07	-0.388235294117647
TCGA.A2.A1FV.01A.11R.A13Q.07	-0.12436974789916
TCGA.A2.A1FW.01A.11R.A13Q.07	-0.23781512605042
TCGA.A2.A1FX.01A.11R.A13Q.07	-0.176890756302521
TCGA.A2.A1FZ.01A.51R.A14D.07	-0.158823529411765
TCGA.A2.A1G0.01A.11R.A13Q.07	-0.136974789915966
TCGA.A2.A1G1.01A.21R.A13Q.07	0.21218487394958
TCGA.A2.A1G4.01A.11R.A13Q.07	-0.328991596638655
TCGA.A2.A1G6.01A.11R.A13Q.07	0.0957983193277311
TCGA.A2.A259.01A.11R.A16F.07	-0.114705882352941
TCGA.A2.A25A.01A.12R.A16F.07	0.215546218487395
TCGA.A2.A25B.01A.11R.A169.07	-0.252100840336134
TCGA.A2.A25C.01A.11R.A169.07	-0.264285714285714
TCGA.A2.A25D.01A.12R.A16F.07	-0.233193277310924
TCGA.A2.A25E.01A.11R.A169.07	-0.303781512605042
TCGA.A2.A25F.01A.11R.A169.07	0.519747899159664
TCGA.A2.A3KC.01A.11R.A213.07	-0.14453781512605
TCGA.A2.A3KD.01A.12R.A213.07	-0.263445378151261
TCGA.A2.A3XS.01A.11R.A22U.07	-0.190336134453782
TCGA.A2.A3XT.01A.11R.A22U.07	0.151680672268908
TCGA.A2.A3XU.01A.12R.A22U.07	-0.278151260504202
TCGA.A2.A3XV.01A.21R.A239.07	-0.336134453781513
TCGA.A2.A3XW.01A.11R.A239.07	-0.208823529411765
TCGA.A2.A3XX.01A.21R.A239.07	-0.171428571428571
TCGA.A2.A3XY.01A.11R.A239.07	0.250420168067227
TCGA.A2.A3XZ.01A.42R.A239.07	-0.330672268907563
TCGA.A2.A3Y0.01A.11R.A239.07	-0.272689075630252
